"summary_year","construction_starts_units","construction_starts_mwe","grid_connections_units","grid_connections_mwe","operational_reactors_units","operational_reactors_mwe"
1954,1,60,1,5,1,5
1955,8,260,0,0,1,5
1956,5,577,1,35,2,65
1957,13,1836,3,119,5,209
1958,5,461,1,35,6,269
1959,7,976,5,176,11,548
1960,11,1010,4,438,15,1087
1961,7,1529,0,0,15,1088
1962,8,1379,9,955,24,2207
1963,5,1722,9,500,32,2661
1964,9,2792,8,1022,39,3670
1965,8,3268,8,1879,47,5894
1966,14,6952,8,1528,54,7523
1967,25,16287,11,2165,63,9579
1968,37,26819,7,1029,68,10632
1969,13,9398,9,3647,76,14080
1970,37,25552,6,3410,82,17615
1971,18,12676,16,7711,98,24304
1972,28,21163,16,8880,112,32781
1973,30,24627,19,12544,130,43645
1974,38,35230,26,17333,153,61005
1975,38,36434,15,10289,168,70398
1976,43,41845,19,14232,185,83977
1977,23,21849,18,13199,198,96187
1978,23,21781,20,15782,217,111725
1979,27,23055,8,6909,224,117799
1980,20,19195,21,15088,244,133022
1981,17,16029,23,20352,266,153820
1982,18,19165,19,15313,283,168302
1983,15,11936,23,19211,305,187744
1984,13,11332,33,31079,335,218437
1985,19,15337,33,31276,363,245779
1986,8,7286,27,27134,389,272074
1987,13,11434,22,22191,407,295812
1988,7,7722,14,13574,416,305212
1990,5,3267,10,10543,416,318224
1989,6,4018,12,10536,420,311913
1991,2,2246,4,3719,415,321924
1992,4,3094,6,4809,418,325261
1993,4,3562,9,9012,427,333914
1994,2,1334,5,4302,429,336904
1995,0,0,5,3536,434,341387
1996,1,610,6,7080,438,347281
1997,4,4453,3,3557,434,347880
1998,3,2150,4,3020,430,344900
1999,4,4540,4,2729,432,347353
2000,6,5336,6,3178,435,349984
2001,3,2696,6,5209,438,352715
2002,6,1304,3,3440,439,357481
2003,1,202,2,1627,437,359827
2004,2,1336,5,4785,437,364539
2005,5,2907,4,3823,440,368035
2006,2,4769,2,1492,434,369491
2007,7,5315,3,1842,436,369483
2008,10,10588,0,0,434,368266
2009,12,13626,2,1068,433,367406
2010,16,15968,5,3776,436,370930
2011,4,1888,6,3993,414,350655
2012,7,7019,3,2963,412,350942
2013,10,11309,4,4060,409,349472
2014,2,2420,5,4660,413,353959
2015,8,8624,10,9450,416,360504
2016,3,3014,10,9531,422,368188
2017,5,4896,4,3373,423,369418
2018,5,6364,9,10323,424,374110
2019,5,6046,6,5174,417,369590
2020,5,5115,5,5561,414,369804
2021,10,8836,6,5218,410,366790
2022,8,9125,6,7400,411,370941
2023,6,6764,5,5007,413,371539
